(lat,lon),ris
(-82.03942417234776, 9.169911332683911),0
(128.91881501499358, 27.83614776873756),69
(130.13935973495413, 32.17288303611752),1337
(-36.67443940950044, 65.81025444711189),0
(-60.201907334462135, -51.39321146937773),1337
(85.25872328082477, 26.75517725728137),420
(-56.88672188189728, 74.53588433531272),1337
(12.865813205511163, 66.27127475285985),0
(21.321976174501966, 60.383154656315),1337
(-63.467367188062326, 67.27388102098318),1337
(-179.11652117628637, 51.238156792372415),69
(21.708278570455125, 60.4658515710716),69
(-158.29652101865926, -19.81668616464277),1337
(16.21392878383776, 68.7853151551585),0
(-16.270393448684707, 28.53861053205995),0
(121.89361562942861, 14.919858275864616),420
(-139.12845568735932, -9.789568302651352),69
(-74.12216976344902, 40.546500531463856),69
(73.5046688109389, 4.0985846955835195),1337
(11.151628373472958, 54.430964173330786),420
(-71.35983863935232, 41.532913510635666),1337
(22.678305930541327, 70.33092937725692),0
(-129.03894959972124, 53.68568651448512),1337
(119.8206146728322, 10.548586744861954),420
(-45.37146921051967, 60.22910779674347),1337
(12.961822574373949, 67.98183325217286),0
(134.32646273986518, 0.7441339671326976),69
(171.72760688928145, 6.094117745305012),69
(-168.05311758684053, 64.96591737473199),0
(19.40521611546172, 43.31056454503632),1337
(-33.45758819521182, 67.15500319810013),0
(32.986510984840606, 31.083258625957278),420
(111.35186067183452, 2.6550545768810005),1337
(20.31463619358079, 59.98782577193022),420
(98.2746913278944, 11.224562224662213),420
(7.210128627281735, 53.71635232931728),1337
(42.108227611219334, 10.84185107082948),69
(-76.49373036828847, 64.20857893931843),0
(-40.39940589246777, 83.04666173140411),1337
(-79.10274080563632, 8.409192094670507),0
(73.02102148396868, 6.363532482187483),420
(73.61112464297464, 3.102978308779558),0
(-15.464634164160454, 28.091154237071564),0
(-47.24156522154699, 60.86968656160752),420
(90.48929677653493, 23.337219880732423),69
(-174.54022501566803, -4.673239807957214),69
(-170.1599164560669, 52.75730532433713),1337
(-44.98764140668691, -1.2859091651951664),0
(173.22027611078423, 52.87026696081417),69
(134.8840563705527, -6.3107246857177595),69
(-68.25214263422252, 44.30848491551555),1337
(126.78921835580448, 34.38508402604387),69
(-61.233473038461256, 13.262526829327035),0
(-7.0101802839283, 57.90477139847737),1337
(153.25579900292013, -11.382179491580983),420
(72.90360330671209, 3.07843339910207),0
(-176.4637275360811, 0.22200936995155013),1337
(-60.99655699228635, 45.56027329838433),1337
(72.95095407145665, 6.345932898692503),69
(-148.08114380761083, -14.954291473169247),69
(14.814007427391891, 68.51270688089623),0
(73.01358424667214, 5.675715114683379),1337
(-174.53962733497127, -4.65966974063521),69
(-80.09065296505474, -26.272715390930912),420
(-81.55220715003561, 24.61240639969612),0
(-29.998331511159726, 68.20072449044167),1337
(-72.86675025138535, 20.076269465351306),1337
(48.06391500626921, 30.007386838621613),420
(-80.51551303210591, 23.18131728847206),0
(-124.46641083233101, -73.88977386075813),0
(114.3597776016811, 10.376952346287355),1337
(117.28639457622293, 8.250598513404793),1337
(-71.32522663845238, -70.29995085905259),0
(-144.58118285372183, 59.828446909507036),69
(-88.92721415379857, 29.684072119263043),420
(179.36911183040917, -16.331559453189247),1337
(107.39778344758157, -2.9230072106400176),1337
(112.63476268685969, -5.841170641488698),1337
(121.81943213160024, 31.314494392714572),69
(21.04579976958325, 70.04210844551156),0
(-140.85989222144144, -15.817550584612304),69
(-55.62605690891474, 72.64268175284536),1337
(119.95952985679295, 8.878954827772693),1337
(-23.313214507009658, 72.74632947985482),420
(-56.63275883818749, -63.16356886302957),69
(4.829376934766657, 60.59499958338274),0
(131.650378621057, -4.472134483486637),0
(-39.61823053590713, 65.32095447711929),0
(24.656490986154065, 40.68846760631427),1337
(73.31489648666063, 2.5003910499862676),0
(14.918666066533657, 49.17599895010854),0
(72.96059366903353, 6.857745413787225),1337
(148.0804147212856, -39.92309367938825),1337
(77.03348629059445, 35.27257065251519),420
(-24.91366707904048, 16.87801327783436),69
(6.2259055780769925, 62.41265956766048),0
(6.090197166528794, 59.262974073684155),0
(-59.88037405821343, 46.12991314185121),69
(22.36056907074468, 55.360324101330946),0
(7.896193127689806, 54.189863336537314),420
(167.02157135451498, -15.264416277581814),0
(151.60358032205764, 7.374782161879861),1337
(-66.87456161430752, 63.01860382953303),1337
(128.33578287851907, 34.82556125145973),1337
(127.34765674585836, 26.17654361285087),69
(14.891980038304476, 49.75208408470115),69
(5.649457682446396, 60.661873726889915),0
(-79.05323206801934, 52.10512881366889),69
(-62.786111307250394, 4.181625947067982),69
(-165.08716218806336, 54.082579828905835),1337
(-70.58253608277725, 41.4034144319668),69
(20.69948353192194, 38.64892623986812),1337
(-174.52913594697142, -4.663745157017955),69
(-66.93980835571051, 44.84396205348849),420
(124.73139199624603, 12.2794279173319),420
(72.91031805880803, 5.032348954455653),0
(128.77970609139024, -3.674028942764651),1337
(-81.25479081360658, 76.18799917156244),420
(-113.5012098291713, 29.05725494911643),0
(157.74597206059036, -7.4249971825033665),420
(-169.7368218716383, 52.98161364554661),69
(-37.09897513237214, 65.57431115122374),0
(108.85055845425681, 2.9320361211632378),69
(-122.68762212723088, 48.05679149802926),420
(-156.77365868888052, 56.17076496605203),420
(-108.11215863611113, 67.53629820815961),69
(-80.71689964005824, -33.75105942128227),420
(-76.5291566917283, 24.268666310327227),69
(168.8178069257608, -12.27096166674232),0
(-151.52596237086266, -16.600314180851182),1337
(114.36584460646704, 10.37074084070429),1337
(120.74560241016265, 38.16682074240458),0
(-140.96253657193142, -18.068878123749247),1337
(-130.6057218769988, 53.48203766208691),1337
(-74.32082131725137, -44.54225468129366),1337
(-31.10385330132451, 39.663465310813095),1337
(-154.52104181650424, -15.813691023670621),1337
(-50.776839098120554, -0.1172277084448548),1337
(-81.43018033358567, 25.809586974081196),0
(33.977666894403896, 27.49501652049686),0
(10.54953523297022, 55.76597656844157),420
(-71.33096953800785, 41.61910276610808),1337
(169.00608714678813, 14.602319579772258),0
(132.59496682601713, -11.700153025061795),0
(112.68536823384598, -5.799761103058943),420
(2.694425006780929, -70.54548749611415),69
(-80.42399903038368, 23.150356499757077),1337
(-130.74790517840344, -23.928515050530663),1337
(36.56362956841152, 25.77378869738103),0
(-120.2010656190193, 34.002669477743055),0
(98.5931639877692, 8.114681008438982),420
(15.87840981313251, 68.0139104546396),0
(-163.1527615515255, 55.41685817747848),0
(70.0836811867088, -49.259402324689546),420
(72.95320229988042, 4.424101169190635),420
(73.39717444313959, 2.7837298495867415),0
(120.84785990411591, 12.799082320488424),1337
(127.17722891820347, -8.080295708170754),0
(73.39764029880837, 5.358737232779769),420
(-73.76681370341277, 45.55537950526633),69
(-122.50665534404294, 47.42601654440765),420
(-63.31059864471601, 46.25021135146474),420
(120.70196699875746, 37.97241466523761),0
(-176.16700057002078, 51.828889271494255),1337
(129.90458593408522, 31.836092117095138),1337
(-67.48871819257485, -55.08285535547473),0
(28.211961321644935, 48.02707260203881),69
(129.6206239426261, -14.86627396343245),0
(118.14563122812942, 24.487425292046666),420
(-74.33707426015117, -45.71750596410383),0
(-174.53963160126185, -4.6741965709170765),69
(-162.32204771006315, 54.96014501186985),0
(161.3883856470385, -9.392002786653),1337
(-79.52028053623732, 23.498998373359907),0
(119.09297326337307, -9.433550124136442),420
(111.2056078072142, 15.781565144910182),420
(73.03721776361472, 0.2669054598447428),69
(54.12820941311532, 24.276250855132005),1337
(-51.919931317212416, 64.1779042849828),1337
(73.34280204086141, 3.943584544070725),420
(119.51264250671606, 25.211549360499557),69
(117.48674226922844, -8.236217085112122),420
(-62.27070415227665, -64.23486486280129),420
(120.52143636484439, -6.193774907190695),420
(-108.0358402356095, 66.94141439810875),1337
(-116.68497219876798, 70.4892970416908),0
(73.39462472563108, 2.7825954297149638),0
(15.218285644464435, 68.00751196102885),0
(-17.99172265538896, 66.55341124392092),69
(146.82416657799985, -19.161170597720428),1337
(-72.36396788429764, 62.01899064032809),0
(-73.16047097201591, -42.273192226126774),420
(-154.1854311861736, -79.98328865635251),420
(37.00321072516119, 25.443332453647777),69
(-131.3269425507034, 55.72403951983761),0
(122.08377530837637, -0.34836790481392105),1337
(72.74521405473855, 11.11272549789256),0
(177.63856174178486, -18.56147453183389),420
(106.82471253921445, -2.944893565397704),420
(-157.87041202216577, 21.49647978114211),420
(-72.32813373253504, 41.05519977683598),420
(-97.67235375306454, 21.818875135120717),420
(131.96491882534755, -5.3577327242432995),420
(21.69920577539513, 70.33696144798023),0
(14.220122283331555, 36.05720097382302),69
(24.066012520135267, 39.324956057438904),1337
(-144.95009279129556, -14.46561507866306),1337
(121.94799604679967, 20.356683596946024),1337
(116.88449445379402, -8.733902844066774),69
(-50.56008533593858, 0.03854631543192743),1337
(122.26768156226848, 12.583835243312306),69
(-56.006320742001314, 72.73792621283191),69
(-94.85544016686589, 29.299948851484565),69
(-54.097660593753524, 49.74591510495877),69
(-70.69455702790773, -70.31643307455384),0
(-44.4143905980618, 60.144541700834544),420
(107.60815325196172, 21.100740249399866),1337
(27.13979384598764, 36.564336251069314),1337
(148.1175338685986, -5.424326168155425),420
(167.07705240039354, -15.231563116501041),420
(126.11942833416263, 35.07579321198975),69
(-161.798136890107, 70.34434379769877),420
(125.70299718956338, 37.67002088960529),69
(146.82488192312329, -19.153524809749214),1337
(73.37047504973113, 0.7590188130529876),420
(122.29937585251176, -3.555404415778),0
(30.271371903135925, 78.984997502465),0
(124.46910101951049, 11.536959003580455),1337
(95.11145593338838, 5.614363758556951),0
(-168.16451086180052, -14.520358396632783),0
(-171.8871041192661, -13.998850303844604),0
(-110.79190551248837, 25.629215003651023),69
(-15.749778269296394, 11.254351575331196),1337
(1.9777157584979623, 42.449398096781096),0
(-20.829789759736695, -74.2339290002287),0
(-61.50869493811854, 56.93695717079815),420
(-122.6855716467876, 47.164834025689004),1337
(122.23536325656158, 14.776768548753981),0
(-132.73209555655092, 54.932623905113715),0
(-78.90140308526713, 58.82706571842032),0
(-151.4758356250943, -16.888319818229466),1337
(122.2878311535897, 29.95997095517117),420
(170.87568014035105, 10.274843764275357),0
(-111.86380944055529, 27.4385200815312),0
(-88.06416131206204, 17.61465458353174),1337
(-122.3305044790075, 76.30247496737638),0
(77.15838887143437, 35.42158640509092),69
(-72.77004561302886, -69.54619843976343),0
(-69.9765084151181, 61.0057499398638),420
(129.630503160216, -14.865094313631344),1337
(-79.18175949185859, 68.28888951171453),0
(73.0455091577507, 3.199904135371627),0
(151.1218095807813, -8.557373420727956),1337
(-68.85558179878586, 44.14278300211367),69
(36.769400827167146, 33.15467765656233),0
(-15.4961357054758, 27.873340489363514),420
(-3.902211404599856, 35.21537317082101),0
(72.93794957985888, 0.49193469128679235),69
(-88.4612247985134, 65.47955862424949),420
(25.014577510389227, 39.55344648086199),420
(73.23164566074655, -0.6295915665386254),0
(-74.99705367045964, -47.69135915046356),1337
(-128.35849240173408, 52.71921189901836),0
(-90.40485396931089, -0.7301709691164947),0
(-108.98536023463367, 25.442014607305097),0
(55.72112872979524, -4.277912111660901),69
(121.61717363530613, 6.579167730875331),69
(-63.30072123453351, 46.40188621105304),0
(-87.594355836044, 13.367939013695775),420
(173.88280696958685, 0.4128494686844919),420
(25.91445092177463, 36.87184269422848),0
(123.12577215304721, -3.6164785200287084),0
(110.46520367977152, -5.841514711558174),420
(-61.404007866451664, 16.39574402330193),0
(-140.11445684507314, -15.966413668950617),420
(5.7346371105344, 59.08522078345189),0
(-77.4637815607845, 34.483329687308945),69
(-48.38344111280477, -27.43202497639344),420
(-64.80669528723959, 17.776318027859062),69
(-136.74101758083205, -21.31976795354317),1337
(73.10276318252984, 6.892734347947376),69
(-75.5548351051808, 20.763141064420754),0
(-61.42898376468881, 12.593645703316154),420
(-65.84769025657084, 65.70522093209475),1337
(-75.19374037160621, 38.11903586438823),420
(73.2178465955237, 6.129984265583984),69
(23.76538828730116, 70.74798928839611),0
(-110.50969998274198, 72.57802915788186),1337
(-73.93397705292736, -51.86121109325919),69
(92.2400720287138, 11.5420022251203),69
(55.84146466425557, -4.344133719752646),69
(117.01867300762318, 7.31848874157661),1337
(45.20340509228102, 40.987093030974265),420
(-161.87555074120417, 70.34982284102423),420
(102.49514735528003, 0.9017955982084862),69
(164.7721833472053, -20.5536708535768),69
(98.19841416994319, 10.154082446206724),0
(-75.62728553355903, 35.246264291582996),1337
(-10.413143069991348, 8.41313694552607),420
(71.35630976078428, -6.65340091688082),420
(97.97046678525926, 12.3737201206394),420
(-73.82994174722579, -52.42311174839131),0
(-118.4702777792046, 32.85369791535534),0
(112.72598991725728, 16.668130161972382),0
(-128.67428885902194, 52.40533457920079),1337
(4.303077114779968, 39.894963574959654),69
(147.4134131821461, -43.21079934840051),420
(98.25557673188518, 13.214328894359987),420
(24.587217219772512, 6.508227002313442),69
(-27.173935527495086, 38.796885989703725),1337
(-72.4498726204744, -53.89421514649271),1337
(73.24783750526717, 6.080521519454961),69
(-111.27818425599907, 26.123136156911713),0
(-75.2170555538806, -48.777201459431566),1337
(-80.54379730931902, 59.09472523126546),1337
(-43.59550279746091, -2.3808915238700945),420
(98.04382725623694, 12.240146227520217),69
(73.69998594010752, 4.432380508551694),1337
(-72.02169090217501, -54.672062873912125),69
(93.83864767496519, 6.9732096864827575),0
(124.89003684770893, 39.57921904287236),69
(27.532599109622314, 40.64514762603731),0
(131.1179708431021, -7.430486149487813),69
(23.87958906776916, 36.83946392821461),69
(107.52509297148457, 20.961810723144204),1337
(-126.45923388099496, 50.58852414082727),420
(25.348226789757007, 37.491679799817916),69
(103.5119637618865, 0.677410957515196),1337
(25.603513928128457, 71.0165257429698),0
(111.60599510700587, 16.532548425860014),1337
(20.67256987823554, 60.13507869802937),420
(-79.26249609142538, 25.528789344319314),69
(127.43574841545085, 0.7433580224404303),69
(-31.090500008086224, 39.72163518758496),420
(-6.26660511183184, 54.52983891036305),1337
(113.69469795824409, -28.48023608558478),69
(-128.74144212395848, 52.414475356258585),69
(-100.79014595903753, 70.28448284399704),420
(122.69247542556135, 10.736994107150183),69
(-74.09318837825705, 40.60246544884714),420
(-124.9364580468815, 50.23165295871211),69
(-46.999470731074446, 60.800750062285374),1337
(20.361381828652682, 60.25150993646904),0
(-15.836605866246806, 11.287571836026192),420
(7.873406378228459, 53.7807627019694),420
(-82.1671868644569, 9.331289055703479),420
(-76.03403810813407, 38.15360559482839),420
(-152.30491606274728, 58.917971005072516),69
(-74.17293197056966, 40.59905833606421),0
(97.85206272787465, 12.58075069576284),69
(-117.02117427066909, -74.30772881920187),420
(39.832646424977014, -7.792146966435031),69
(-74.70864014318494, -50.93802883756158),1337
(56.035787767938615, 17.54407413746604),420
(6.3942538828056605, -70.13265842270343),1337
(124.02493817038875, -5.957265523856316),420
(-74.16497063321106, 40.611880854592776),69
(-66.23798591827043, 44.3592203358219),0
(-64.82770102859979, 32.282101311047754),69
(-73.78418150344655, -51.948889378811224),1337
(-66.74380338134624, 80.64377611596555),420
(50.295307451476404, 45.02851856857707),1337
(-158.29638360569595, -19.816165743384214),0
(136.14528000875416, -13.545875599673439),1337
(-51.08051985253767, -0.7880485573282995),69
(-25.06046502303132, 36.975645358561025),69
(-144.53206763768125, 59.87381927916136),420
(169.53906932491594, -0.8589325082871944),420
(144.92919593988307, -40.664439093651524),0
(-96.59807395066672, 72.13782288108528),1337
(142.27785464304762, -9.272252919268292),420
(-26.69068176755346, -57.06349056316664),1337
(-160.295936109705, 58.67240385578467),0
(104.0368298353586, 1.1147518262733866),0
(15.113831277674795, 44.12562295257517),420
(-109.67924129482175, 68.22099061689359),420
(25.48079545400613, 37.05329061285139),420
(-61.697571454871714, -63.773456125400195),1337
(72.94643763124861, 2.273302507306777),0
(73.53496569271196, 5.450013794551981),69
(11.589790223960206, 54.096692551421185),420
(126.59575482405914, 5.557016305603692),69
(-78.7968053957642, 52.43065511327891),69
(-76.73371817442168, 34.716644621935835),420
(20.57228077318664, 69.89512843802689),0
(-2.7746060410962854, 59.2374570216579),1337
(-73.42819172705653, -42.984148028248775),69
(73.47290690306342, 3.939248412335456),1337
(166.64213892081412, 19.282439956429876),420
(-179.0404949643896, -17.96625239442485),1337
(52.742709501178766, -6.998556225173274),420
(-136.1757037386443, -22.027730361504176),1337
(122.20315693660659, 18.38710132938327),69
(-64.7653013769571, 18.44836459248714),1337
(-152.47543286466953, 57.923905471717426),420
(55.87064878129617, -4.296240726781654),1337
(125.36208107308835, 2.0888944328511214),0
(-149.2678051174164, -76.93161976206872),1337
(-5.962466496109165, 57.556800470970686),420
(9.149787266434442, 63.564800197256965),0
(114.15960216920124, 22.49512999225267),420
(-77.20308574625773, -12.110583255782897),69
(7.899676740694517, 13.102969205122683),69
(12.60191081780049, 35.492674197705355),0
(-57.26383766501478, 54.47699724065909),0
(123.81596457647669, 13.373893488102382),69
(18.71451209688639, 43.79263629236114),0
(-162.87116594335825, 69.91164923934222),1337
(-144.2749019151084, -16.429556226039487),0
(-64.07310685505972, 59.73214723720292),69
(20.945163955482325, 38.65090006698525),1337
(-144.25702642037518, -16.462729337699756),0
(72.91047075798247, 5.032005748807066),0
(72.85891889958238, 5.236622679001188),69
(-68.84777777059583, 44.15841093583417),0
(-3.1514489985934855, -71.15323506371584),69
(-135.46565703296278, 69.39160259631075),420
(150.50384774584793, -22.229406511031772),0
(-176.45942353441632, 0.22215055036876885),1337
(95.13818702277095, 5.628053248390576),1337
(5.695714206583159, 53.4392866258505),420
(54.303664760439105, 24.339513693927824),69
(145.78941068403782, 16.69469863139347),69
(153.17191465553677, -11.214776245591588),420
(-83.61032716044107, 66.05222822626222),1337
(123.85748750076293, 13.326756407610276),1337
(55.3822156289719, -5.8586846837483195),69
(-171.57604210913215, -13.950287822089878),420
(5.845672780420809, 62.27170299086472),0
(15.250427148488745, 43.87412394638421),69
(118.44426761646655, 7.001017936802166),0
(32.33757234709024, 37.10577854877156),0
(-60.550471424661524, -51.29249120596474),69
(18.750927033696723, 70.03518825105606),0
(-19.366181859384476, 80.05174453004827),1337
(-136.98244831914963, -18.34386626074927),69
(31.697473888387734, -26.49695914648539),0
(2.9488814262197307, 39.159100139416964),420
(126.34557098106333, 36.49955522372985),1337
(117.5017739929722, 3.3254939538112285),0
(-175.67613087343332, 51.96575595618133),1337
(19.50081943366947, 68.78898113848213),0
(-17.98103067568185, 66.54894427573973),69
(5.193565218815467, 60.06848719210973),0
(10.548625967004218, 55.94975444310161),420
(12.579086679553965, 65.93903077203566),0
(12.295136488950297, 37.9406818106964),0
(8.254522447953597, 63.17849437729601),0
(-6.107765742434816, 55.81723985968178),1337
(16.66494140227714, 43.32906766804861),69
(-160.13077068476647, 21.91894434976896),69
(-58.50132798160169, 51.15309536690639),0
(151.6318277876701, 7.370161371717973),0
(116.9898820753734, 7.33614336532827),1337
(177.22089307192348, -17.115037826840833),1337
(-6.290403555439113, 57.004728407435344),1337
(-2.435223042678254, -70.92669943640183),1337
(-124.77813157470227, 49.54034040737041),69
(-54.200721981956036, 47.48515977416844),420
(-87.70824100895044, 13.169752300118576),420
(18.693883553726234, 59.18692535123442),420
(-86.89082186001048, 50.68611193757988),69
(-78.65189015910214, 20.661131111485457),0
(126.30310065460958, 34.49866602839192),1337
(127.91408877471392, -2.978563654265828),1337
(-61.8313112903907, -63.9857606546536),0
(99.70299906427046, -2.1402595204251944),1337
(122.36047091726796, 30.452538174215345),1337
(114.45240676281455, 10.391907073934547),1337
(136.8625246377613, 34.5183829862607),69
(168.80259062511584, -12.28896027340633),69
(142.10782272437035, 27.727612211099277),69
(114.35920406301037, 10.373724648989484),420
(-50.457108652417524, 1.9635761028508123),420
(-122.95748740353356, 48.638177080144104),1337
(-118.24421163578793, 33.752219010050716),1337
(88.10710993789756, 21.941409358257587),1337
(-17.90888813848302, 77.68114317572197),1337
(-98.837969649146, 79.89905302786642),0
(-78.75090356802649, 52.447667411895516),69
(104.56624233203901, 0.1658336469017574),420
(134.15778009315935, 6.906059424305409),1337
(-74.58378556273732, 62.727553862270064),1337
(114.46915839964684, 10.374982358654464),420
(-140.70098074263942, -7.9865970314880315),69
(-68.83971256969016, 44.06361586264859),1337
(111.60547884818139, 16.527077339491168),1337
(-147.41722569811202, 60.67787772745765),1337
(24.509857755996666, 37.180734215767096),420
(157.21784472792666, -8.559530413151641),69
(54.519216421662485, -15.890022610833084),0
(-178.8278283066477, -18.21198078146187),420
(134.90915315247403, -12.078541586154884),1337
(73.01345095482519, 5.616180395189897),420
(93.4333287654754, 7.946265859540686),0
(167.79674121225955, -47.124094011811195),69
(142.19213387881405, 27.16999725074925),69
(4.81083309106643, 60.912423179700724),0
(15.65299727811871, 56.11105292693504),420
(-79.39250985906749, 22.673032351561403),69
(154.88012224700287, 3.757878785223527),69
(102.5499197505453, 11.649549397156353),69
(72.94199993326203, 3.831459596309721),69
(-81.7131469585768, 12.530532318156297),0
(90.71048377645722, 22.13032066503056),420
(-2.9220645666125007, 35.28150427958561),69
(147.18093102591868, -23.515569251452526),1337
(-9.337017874038679, 5.934068072208187),420
(-78.35499197476065, 57.181688025826865),69
(-20.518583904696403, -74.45222071078022),1337
(33.99551758007761, 35.05392565568198),69
(20.640386483525724, 80.75562526642501),0
(4.375023482099737, -70.46860095328334),0
(73.2006359064214, 6.322707730631256),0
(-89.69974697340164, -1.3735764758523294),0
(115.8197401157469, -4.793714447969261),420
(7.870960127492868, 53.7785205325958),420
(15.708248216741843, 69.11661389869639),0
(-55.61079035178218, 50.965760846874),420
(-162.39708840479054, 6.43403427048591),420
(18.85239492093043, 59.38968044687872),420
(-16.525624101666935, 32.56251238261651),1337
(107.35510248060135, 20.82884872775279),69
(142.11031884014872, 27.724575530959495),420
(-148.62945422125594, -14.874438852492402),0
(-41.583512740296946, 62.94708687345258),1337
(-89.4666837357082, 29.796769153430265),0
(5.923728033626317, 49.82298039401269),420
(-97.81247048231998, -72.68025714408964),1337
(-50.32396073914912, 0.3155631425297948),0
(23.022508019028898, 28.030073150449738),0
(25.756945573358983, 36.3572207588452),1337
(124.92735302716859, -15.015846842733207),420
(20.664493739031954, 60.14019035956366),420
(-75.35351138805211, -48.910115869193454),69
(-110.59623390571265, 24.994497515354556),69
(128.5652571644975, 27.387612520017193),420
(72.85962362207947, 5.237166706559084),1337
(-129.16694241391497, 53.224866972863694),420
(-91.24591466529932, 75.6493305295546),1337
(50.669475405501835, 44.9203571598489),1337
(22.01858000487485, 63.37570299837295),1337
(-6.228108875903137, 56.47987552839103),69
(8.233374282692393, 41.018660593481115),420
(-68.89650270792792, 44.30547268454744),420
(-79.89300393602544, 61.78237901802582),0
(73.58146151161952, 5.280027614897657),69
(11.298236512313544, 64.6254591721924),0
(98.29174674403316, 13.050264680396126),1337
(-163.18347001823503, 55.421978362355496),0
(-47.223173446642974, 60.85656678044579),0
(156.57130939683518, -8.15487711364419),1337
(-20.530358881914932, 78.13283598331031),0
(24.95913971957414, 36.598397644856284),0
(128.3396212651084, -1.0224253565776174),420
(-130.2267312037566, 54.75724889851733),0
(-151.49091015341585, -16.644280853505222),420
(72.70014491097254, 3.9993037765589388),0
(-90.87173478638115, -0.8030768151093591),420
(-145.68171401758872, -16.053070264730078),420
(-54.242212310788844, 49.62885215384054),0
(73.5445613009925, 1.905046754491594),420
(-168.09027600160198, 64.9695404313413),1337
(25.80362825710061, 37.11103281204765),420
(11.116257174649544, 54.52517731665778),69
(126.33412762968393, 37.7916511568557),420
(126.62106269246222, 3.993423311085679),69
(102.33108418351956, 11.978230972453773),1337
(-13.506761693958063, 29.243888428211587),420
(14.257432497992633, 67.15976485259442),0
(30.00748191739397, 45.73430964779174),420
(-78.64277235980404, 58.79324050461831),0
(-147.23881344697133, -15.235579143238565),0
(33.8758121649714, 35.044482346535744),420
(-41.87499622422385, 62.79115660059063),69
(166.64068897887918, 19.299559157742465),0
(-42.16627181239336, -2.6744427804810065),0
(169.81841657015812, -20.21344519057854),69
(68.79484456417578, -48.61258256892819),420
(107.38003790201704, -2.8984742357233855),1337
(12.124099811255052, 65.05980494830759),0
(98.36186074769357, -0.49914840402441313),0
(-90.74907416911739, 63.52824506754958),0
(37.78788116597395, -46.891685725817496),420
(72.89418075955395, 6.448843939703151),0
(124.34008678337734, -9.36901673568564),420
(-6.211223139723269, -70.51249474295737),69
(98.50118140698378, 10.886895746616979),69
(-5.02207852971266, 55.80478349413534),420
(32.4534031355728, 34.9651345987801),69
(172.97365341611078, 1.572248484988122),0
(-66.78545634285204, 80.66345033475724),69
(-1.2605909157516269, 45.94629062300997),69
(-155.59784982907368, 55.83239017277119),420
(17.609597019389533, 44.02543167627599),69
(73.23237144212665, -0.6292847025734709),420
(71.77731427316638, 38.61245962620086),0
(-62.65068149300232, 17.222073871300342),1337
(167.52973280793768, -16.4240971130362),69
(22.62104814806043, 70.31770925614103),0
(162.4806722870173, -66.37878855606904),1337
(-37.13146521021589, 65.67276185702674),1337
(128.6546882565378, 32.69373272803663),69
(127.22908309985233, 34.45061091496336),1337
(-72.09298940918383, 21.876991077586997),69
(23.81563979280929, 79.54378299922652),0
(-80.3860650002499, 23.153467882878157),69
(120.81101708179973, -8.747652070084124),420
(-83.62695271879181, 66.11852881421107),1337
(179.94846526205234, -16.63615866437211),1337
(-93.04728109975841, 63.887060155738325),420
(-8.376115855533186, 54.08729308059954),69
(130.7142701391443, -0.9906943663410741),1337
(-1.6322214561609314, 59.53775379681958),1337
(-176.01063259277333, 51.873521120280806),0
(-53.00087056333373, 65.56165979287734),420
(128.91610614477986, 32.85388446860977),0
(166.58560332061512, -48.0261979759221),420
(107.38673614579734, 21.083384137406643),1337
(-89.37775485537964, -0.7610357390847466),0
(13.306384269326141, 68.15016378827337),0
